Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Car,BYD,Atto 3,2021,166,172
Car,MG,ZS EV,2021,253,134
Car,MG,ZS EV,2022,176,97
Car,Tata Motors,Nexon EV,2019,480,76
Car,Hyundai,Kona Electric,2021,341,126
Bike,Revolt Motors,RV400,2020,143,80
Bike,Tork Motors,Kratos,2019,279,175
Car,Hyundai,Kona Electric,2022,103,140
Bike,PURE EV,eTryst 350,2020,470,151
Bike,PURE EV,eTryst 350,2022,92,120
Car,Mahindra,eVerito,2021,95,177
Bike,Tork Motors,Kratos,2019,459,64
Car,BYD,Atto 3,2023,170,173
Car,Hyundai,Kona Electric,2022,281,145
Scooter,TVS,iQube,2023,204,147
Bike,PURE EV,eTryst 350,2019,181,61
Scooter,Ola Electric,S1 Pro,2019,318,72
Scooter,TVS,iQube,2022,465,106
Bike,Ultraviolette,F77,2023,246,60
Car,Tata Motors,Nexon EV,2019,259,142
Bike,PURE EV,eTryst 350,2021,234,65
Car,Tata Motors,Nexon EV,2021,218,173
Scooter,Ather,450X,2023,94,107
Bike,Ultraviolette,F77,2022,299,103
Scooter,Bajaj,Chetak,2021,495,179
Scooter,Ather,450X,2021,125,76
Car,MG,ZS EV,2022,291,116
Car,BYD,Atto 3,2021,300,78
Car,MG,ZS EV,2023,470,130
Scooter,TVS,iQube,2019,484,156
Car,BYD,Atto 3,2023,411,163
Car,Hyundai,Kona Electric,2019,280,130
Scooter,Hero Electric,Optima,2021,162,156
Car,Hyundai,Kona Electric,2020,144,140
Car,Hyundai,Kona Electric,2020,254,156
Scooter,Hero Electric,Optima,2021,271,162
Car,Mahindra,eVerito,2022,113,67
Car,MG,ZS EV,2019,162,76
Bike,Oben Electric,Rorr,2022,484,93
Scooter,Hero Electric,Optima,2023,388,171
Bike,Revolt Motors,RV400,2019,156,130
Car,Tata Motors,Nexon EV,2022,211,173
Scooter,Ola Electric,S1 Pro,2019,80,103
Scooter,Bajaj,Chetak,2020,354,110
Bike,PURE EV,eTryst 350,2020,331,93
Car,BYD,Atto 3,2021,412,152
Car,Hyundai,Kona Electric,2021,259,136
Car,MG,ZS EV,2023,407,76
Car,Mahindra,eVerito,2021,103,108
Scooter,Hero Electric,Optima,2021,346,72
Bike,Ultraviolette,F77,2021,333,136
Scooter,TVS,iQube,2020,242,146
Scooter,Ola Electric,S1 Pro,2022,284,134
Car,Tata Motors,Nexon EV,2019,344,69
Scooter,TVS,iQube,2023,440,107
Scooter,Hero Electric,Optima,2021,246,156
Car,MG,ZS EV,2020,385,169
Scooter,Ola Electric,S1 Pro,2019,110,95
Car,BYD,Atto 3,2019,498,116
Scooter,Ather,450X,2020,303,78
Bike,Oben Electric,Rorr,2021,150,142
Bike,PURE EV,eTryst 350,2022,362,76
Car,Mahindra,eVerito,2021,490,123
Bike,PURE EV,eTryst 350,2019,159,176
Scooter,Bajaj,Chetak,2020,254,90
Bike,Ultraviolette,F77,2020,173,156
Bike,Tork Motors,Kratos,2023,264,117
Bike,Tork Motors,Kratos,2022,279,152
Scooter,Bajaj,Chetak,2022,272,105
Bike,Revolt Motors,RV400,2023,267,123
Car,MG,ZS EV,2020,219,156
Car,Hyundai,Kona Electric,2020,201,150
Bike,Revolt Motors,RV400,2020,97,118
Car,MG,ZS EV,2020,128,105
Scooter,Ola Electric,S1 Pro,2021,150,174
Bike,Tork Motors,Kratos,2022,336,82
Car,BYD,Atto 3,2022,100,149
Car,Hyundai,Kona Electric,2023,321,99
Car,Hyundai,Kona Electric,2023,259,69
Bike,Ultraviolette,F77,2022,183,64
Bike,Ultraviolette,F77,2023,145,122
Car,Tata Motors,Nexon EV,2023,445,151
Bike,Oben Electric,Rorr,2022,186,70
Bike,PURE EV,eTryst 350,2023,451,130
Scooter,Ola Electric,S1 Pro,2020,303,146
Car,Hyundai,Kona Electric,2020,261,63
Bike,Tork Motors,Kratos,2020,374,63
Car,Tata Motors,Nexon EV,2021,133,65
Scooter,Ather,450X,2022,435,159
Car,Tata Motors,Nexon EV,2022,244,163
Bike,Revolt Motors,RV400,2021,109,60
Car,Hyundai,Kona Electric,2022,262,158
Car,BYD,Atto 3,2020,334,93
Bike,Ultraviolette,F77,2022,395,149
Scooter,Ola Electric,S1 Pro,2019,75,90
Scooter,Hero Electric,Optima,2022,402,164
Car,Tata Motors,Nexon EV,2020,259,68
Car,MG,ZS EV,2022,273,108
Car,MG,ZS EV,2019,485,123
Car,BYD,Atto 3,2021,399,70
Scooter,TVS,iQube,2021,106,98
Car,BYD,Atto 3,2021,378,166
Car,BYD,Atto 3,2019,490,111
Bike,Revolt Motors,RV400,2022,341,127
Scooter,Ather,450X,2023,419,149
Bike,Revolt Motors,RV400,2023,170,138
Scooter,Ola Electric,S1 Pro,2022,400,120
Scooter,Hero Electric,Optima,2020,326,120
Scooter,Bajaj,Chetak,2019,88,134
Scooter,TVS,iQube,2019,197,67
Car,Hyundai,Kona Electric,2022,216,109
Car,Mahindra,eVerito,2019,324,89
Car,Tata Motors,Nexon EV,2023,133,136
Bike,Tork Motors,Kratos,2022,209,173
Bike,Revolt Motors,RV400,2022,470,66
Bike,PURE EV,eTryst 350,2019,489,161
Bike,Oben Electric,Rorr,2020,303,145
Bike,Revolt Motors,RV400,2019,82,170
Car,Mahindra,eVerito,2019,357,73
Bike,Oben Electric,Rorr,2022,144,155
Bike,PURE EV,eTryst 350,2021,228,70
Car,Tata Motors,Nexon EV,2020,340,152
Scooter,Bajaj,Chetak,2019,139,73
Bike,Oben Electric,Rorr,2021,295,61
Car,Mahindra,eVerito,2020,132,89
Scooter,Hero Electric,Optima,2022,419,78
Scooter,Hero Electric,Optima,2022,303,180
Bike,Oben Electric,Rorr,2020,99,115
Bike,PURE EV,eTryst 350,2022,415,102
Bike,Oben Electric,Rorr,2019,254,105
Car,BYD,Atto 3,2022,300,126
Car,Tata Motors,Nexon EV,2023,387,114
Bike,Revolt Motors,RV400,2021,239,162
Car,Mahindra,eVerito,2022,215,119
Car,Hyundai,Kona Electric,2022,137,124
Car,Mahindra,eVerito,2022,199,103
Bike,Ultraviolette,F77,2023,488,120
Car,Mahindra,eVerito,2019,419,117
Scooter,Ather,450X,2022,102,137
Scooter,Ola Electric,S1 Pro,2019,392,81
Car,Hyundai,Kona Electric,2020,175,155
Bike,Tork Motors,Kratos,2022,272,165
Scooter,Bajaj,Chetak,2023,399,150
Bike,Revolt Motors,RV400,2019,329,132
Bike,Revolt Motors,RV400,2021,159,122
Car,Mahindra,eVerito,2021,114,121
Bike,PURE EV,eTryst 350,2021,388,148
Car,MG,ZS EV,2022,404,138
Bike,Ultraviolette,F77,2020,499,95
Car,BYD,Atto 3,2020,239,118
Car,Mahindra,eVerito,2022,345,111
Bike,Ultraviolette,F77,2023,463,76
Bike,Ultraviolette,F77,2019,450,144
Car,MG,ZS EV,2020,472,67
Scooter,Ola Electric,S1 Pro,2022,329,170
Bike,PURE EV,eTryst 350,2022,136,143
Car,Tata Motors,Nexon EV,2022,385,101
Car,Tata Motors,Nexon EV,2021,199,152
Car,BYD,Atto 3,2020,170,142
Bike,Oben Electric,Rorr,2023,365,153
Car,Mahindra,eVerito,2022,478,161
Car,Mahindra,eVerito,2022,83,102
Bike,Revolt Motors,RV400,2022,500,99
Scooter,Ola Electric,S1 Pro,2020,79,130
Scooter,TVS,iQube,2021,84,140
Scooter,Hero Electric,Optima,2023,127,132
Scooter,Hero Electric,Optima,2021,76,77
Car,Mahindra,eVerito,2023,170,151
Car,Hyundai,Kona Electric,2023,298,93
Scooter,Ola Electric,S1 Pro,2020,318,95
Scooter,Bajaj,Chetak,2023,329,107
Scooter,Bajaj,Chetak,2021,436,149
Scooter,Bajaj,Chetak,2019,321,140
Bike,Tork Motors,Kratos,2021,115,90
Car,Hyundai,Kona Electric,2019,498,157
Bike,Oben Electric,Rorr,2022,444,76
Scooter,Hero Electric,Optima,2022,251,137
Scooter,Hero Electric,Optima,2022,331,93
Bike,Revolt Motors,RV400,2022,361,73
Bike,Ultraviolette,F77,2019,244,91
Scooter,Ather,450X,2019,398,145
Bike,PURE EV,eTryst 350,2022,78,62
Scooter,TVS,iQube,2022,317,116
Car,Mahindra,eVerito,2019,178,99
Bike,Tork Motors,Kratos,2022,441,123
Bike,Tork Motors,Kratos,2019,252,141
Bike,PURE EV,eTryst 350,2020,299,117
Bike,PURE EV,eTryst 350,2023,374,133
Car,Tata Motors,Nexon EV,2023,131,103
Car,Tata Motors,Nexon EV,2021,248,171
Bike,Oben Electric,Rorr,2020,191,176
Scooter,Ola Electric,S1 Pro,2019,243,77
Scooter,TVS,iQube,2019,318,98
Car,BYD,Atto 3,2022,197,129
Scooter,Bajaj,Chetak,2021,361,176
Scooter,Bajaj,Chetak,2021,334,133
Car,Tata Motors,Nexon EV,2021,129,71
Bike,Revolt Motors,RV400,2021,466,103
Scooter,Hero Electric,Optima,2019,479,159
Car,Tata Motors,Nexon EV,2020,430,67
Bike,Tork Motors,Kratos,2021,83,68
Car,BYD,Atto 3,2023,403,132
Scooter,Ather,450X,2021,382,167
Bike,PURE EV,eTryst 350,2019,279,124
Bike,Ultraviolette,F77,2019,75,63
Bike,Ultraviolette,F77,2021,381,111
Scooter,Bajaj,Chetak,2023,430,161
Car,Mahindra,eVerito,2021,375,102
Car,Mahindra,eVerito,2023,445,163
Bike,Tork Motors,Kratos,2022,183,160
Car,BYD,Atto 3,2019,170,126
Scooter,TVS,iQube,2022,106,146
Car,MG,ZS EV,2021,114,155
Scooter,TVS,iQube,2020,174,80
Car,Mahindra,eVerito,2023,280,105
Car,Tata Motors,Nexon EV,2021,209,152
Bike,Oben Electric,Rorr,2023,254,89
Car,Tata Motors,Nexon EV,2019,415,146
Car,Mahindra,eVerito,2021,140,111
Scooter,TVS,iQube,2022,469,96
Scooter,TVS,iQube,2023,343,73
Car,Tata Motors,Nexon EV,2020,376,179
Bike,Oben Electric,Rorr,2022,174,101
Bike,Oben Electric,Rorr,2023,171,154
Scooter,Ola Electric,S1 Pro,2020,469,156
Scooter,Ola Electric,S1 Pro,2020,196,148
Bike,Tork Motors,Kratos,2023,177,67
Scooter,Hero Electric,Optima,2019,415,164
Car,Tata Motors,Nexon EV,2020,391,113
Car,Tata Motors,Nexon EV,2022,423,77
Scooter,Bajaj,Chetak,2021,332,77
Car,MG,ZS EV,2023,441,170
Scooter,Ather,450X,2019,205,96
Bike,Tork Motors,Kratos,2020,387,151
Scooter,Bajaj,Chetak,2022,189,175
Bike,Revolt Motors,RV400,2022,429,136
Car,Mahindra,eVerito,2020,257,176
Scooter,Hero Electric,Optima,2020,470,69
Bike,PURE EV,eTryst 350,2022,497,65
Car,Tata Motors,Nexon EV,2023,210,173
Car,Mahindra,eVerito,2022,81,85
Car,BYD,Atto 3,2023,291,126
Car,BYD,Atto 3,2023,321,164
Scooter,Bajaj,Chetak,2022,155,170
Scooter,TVS,iQube,2020,323,162
Bike,Ultraviolette,F77,2022,175,89
Bike,Tork Motors,Kratos,2020,354,131
Car,Mahindra,eVerito,2023,130,127
Car,Tata Motors,Nexon EV,2022,281,80
Car,BYD,Atto 3,2020,492,133
Scooter,Bajaj,Chetak,2020,107,71
Bike,Revolt Motors,RV400,2022,225,72
Car,Tata Motors,Nexon EV,2020,449,83
Scooter,Ather,450X,2022,485,109
Car,BYD,Atto 3,2023,213,176
Car,Hyundai,Kona Electric,2019,196,179
Scooter,Bajaj,Chetak,2021,320,89
Bike,Revolt Motors,RV400,2020,88,120
Scooter,Bajaj,Chetak,2021,184,95
Scooter,TVS,iQube,2022,107,108
Scooter,Ather,450X,2019,214,151
Scooter,TVS,iQube,2021,330,60
Bike,Ultraviolette,F77,2022,292,178
Car,MG,ZS EV,2022,282,101
Bike,Oben Electric,Rorr,2022,455,108
Car,BYD,Atto 3,2020,108,102
Scooter,Ola Electric,S1 Pro,2019,276,163
Car,BYD,Atto 3,2023,226,145
Car,MG,ZS EV,2022,336,76
Car,Hyundai,Kona Electric,2020,465,152
Scooter,TVS,iQube,2022,285,129
Scooter,Hero Electric,Optima,2020,320,117
Scooter,Bajaj,Chetak,2019,442,134
Bike,Revolt Motors,RV400,2023,277,125
Car,BYD,Atto 3,2023,149,124
Scooter,Bajaj,Chetak,2022,121,67
Bike,Ultraviolette,F77,2020,326,136
Scooter,Hero Electric,Optima,2021,350,115
Car,Mahindra,eVerito,2021,192,141
Bike,Oben Electric,Rorr,2020,140,172
Bike,Oben Electric,Rorr,2020,453,111
Car,BYD,Atto 3,2021,378,125
Bike,Oben Electric,Rorr,2019,275,109
Bike,Revolt Motors,RV400,2023,399,140
Bike,Revolt Motors,RV400,2020,412,158
Car,Hyundai,Kona Electric,2021,265,116
Car,Mahindra,eVerito,2019,118,83
Scooter,Ola Electric,S1 Pro,2023,254,131
Scooter,Hero Electric,Optima,2021,175,139
Car,Hyundai,Kona Electric,2019,481,175
Scooter,Hero Electric,Optima,2023,195,74
Car,Mahindra,eVerito,2021,461,108
Bike,Tork Motors,Kratos,2022,318,64
Car,Mahindra,eVerito,2022,418,143
Scooter,TVS,iQube,2019,454,79
Car,BYD,Atto 3,2023,268,64
Scooter,Hero Electric,Optima,2021,360,99
Car,MG,ZS EV,2020,434,145
Scooter,Ather,450X,2019,330,112
Car,MG,ZS EV,2023,494,144
Scooter,Hero Electric,Optima,2019,157,131
Bike,Oben Electric,Rorr,2020,301,154
Scooter,Bajaj,Chetak,2023,398,109
Car,BYD,Atto 3,2022,209,110
Car,MG,ZS EV,2019,126,143
Car,MG,ZS EV,2023,272,164
Scooter,Bajaj,Chetak,2019,419,146
Scooter,Ola Electric,S1 Pro,2021,210,175
Car,Mahindra,eVerito,2021,439,135
Scooter,Ola Electric,S1 Pro,2019,476,172
Bike,Revolt Motors,RV400,2023,437,141
Scooter,Ola Electric,S1 Pro,2021,249,80
Scooter,Ather,450X,2022,80,66
Bike,Revolt Motors,RV400,2019,380,168
Car,BYD,Atto 3,2022,382,176
Scooter,Ather,450X,2020,241,65
Bike,Oben Electric,Rorr,2021,187,133
Scooter,Hero Electric,Optima,2021,272,84
Scooter,Hero Electric,Optima,2022,278,129
Scooter,Ather,450X,2019,224,71
Bike,Tork Motors,Kratos,2019,485,92
Car,Mahindra,eVerito,2023,210,83
Bike,Ultraviolette,F77,2020,154,160
Car,Mahindra,eVerito,2019,388,166
Car,Tata Motors,Nexon EV,2022,95,134
Car,Tata Motors,Nexon EV,2020,288,180
Scooter,Ather,450X,2021,244,138
Bike,Ultraviolette,F77,2019,260,112
Bike,Oben Electric,Rorr,2020,233,80
Scooter,Hero Electric,Optima,2023,362,74
Bike,PURE EV,eTryst 350,2020,247,100
Bike,Tork Motors,Kratos,2023,404,71
Bike,Ultraviolette,F77,2021,468,68
Scooter,TVS,iQube,2023,130,87
Car,Mahindra,eVerito,2020,356,70
Scooter,Hero Electric,Optima,2019,150,149
Scooter,TVS,iQube,2022,395,72
Scooter,Ola Electric,S1 Pro,2020,244,105
Scooter,Ola Electric,S1 Pro,2019,415,142
Car,MG,ZS EV,2021,116,150
Scooter,Bajaj,Chetak,2021,159,111
Scooter,Bajaj,Chetak,2023,447,84
Bike,Oben Electric,Rorr,2019,376,66
Bike,Ultraviolette,F77,2019,236,64
Bike,Tork Motors,Kratos,2023,335,124
Bike,Ultraviolette,F77,2019,241,176
Car,Hyundai,Kona Electric,2019,169,171
Bike,Ultraviolette,F77,2021,158,107
Scooter,Ola Electric,S1 Pro,2022,168,151
Scooter,Ather,450X,2019,328,61
Bike,PURE EV,eTryst 350,2022,91,167
Bike,Tork Motors,Kratos,2019,142,86
Car,MG,ZS EV,2022,281,136
Scooter,Ola Electric,S1 Pro,2021,104,70
Bike,PURE EV,eTryst 350,2022,174,166
Bike,PURE EV,eTryst 350,2020,453,60
Bike,Ultraviolette,F77,2022,241,92
Scooter,Ather,450X,2022,105,147
Scooter,TVS,iQube,2020,75,179
Car,Tata Motors,Nexon EV,2022,325,174
Scooter,TVS,iQube,2020,79,107
Car,BYD,Atto 3,2019,131,95
Scooter,Ola Electric,S1 Pro,2020,351,117
Bike,PURE EV,eTryst 350,2021,382,135
Scooter,Ola Electric,S1 Pro,2023,93,123
Scooter,Hero Electric,Optima,2019,372,148
Scooter,TVS,iQube,2020,226,150
Bike,Revolt Motors,RV400,2021,244,145
Bike,Revolt Motors,RV400,2023,169,137
Car,Mahindra,eVerito,2021,393,63
Scooter,Ather,450X,2021,195,78
Bike,Ultraviolette,F77,2021,481,149
Bike,Revolt Motors,RV400,2021,337,127
Car,Mahindra,eVerito,2022,316,64
Bike,Oben Electric,Rorr,2022,360,138
Bike,Tork Motors,Kratos,2020,89,162
Bike,Ultraviolette,F77,2019,241,145
Scooter,Ather,450X,2020,335,130
Scooter,Ola Electric,S1 Pro,2021,185,141
Scooter,Hero Electric,Optima,2019,335,149
Scooter,TVS,iQube,2021,377,131
Car,Tata Motors,Nexon EV,2023,452,80
Bike,Revolt Motors,RV400,2019,500,75
Scooter,Ather,450X,2020,154,138
Scooter,Ather,450X,2023,261,60
Car,Hyundai,Kona Electric,2019,485,63
Scooter,Ather,450X,2022,147,120
Bike,Tork Motors,Kratos,2022,323,97
Car,MG,ZS EV,2019,287,180
Bike,Oben Electric,Rorr,2020,461,115
Scooter,TVS,iQube,2023,118,86
Scooter,Ola Electric,S1 Pro,2023,352,89
Scooter,Ather,450X,2020,318,172
Scooter,Bajaj,Chetak,2021,109,161
Car,Tata Motors,Nexon EV,2020,438,64
Car,Mahindra,eVerito,2021,425,179
Bike,Revolt Motors,RV400,2020,199,131
Car,Hyundai,Kona Electric,2021,153,70
Scooter,TVS,iQube,2019,396,75
Bike,PURE EV,eTryst 350,2023,465,145
Bike,Tork Motors,Kratos,2021,466,78
Scooter,Ather,450X,2019,306,137
Bike,Tork Motors,Kratos,2023,383,128
Scooter,TVS,iQube,2023,336,83
Scooter,Ola Electric,S1 Pro,2022,295,123
Bike,Ultraviolette,F77,2020,254,147
Bike,Oben Electric,Rorr,2021,382,161
Car,BYD,Atto 3,2021,302,103
Bike,Tork Motors,Kratos,2021,347,165
Bike,Ultraviolette,F77,2020,462,162
Car,Hyundai,Kona Electric,2022,360,108
Scooter,Ola Electric,S1 Pro,2020,494,64
Bike,Revolt Motors,RV400,2023,385,92
Scooter,Hero Electric,Optima,2019,229,176
Car,MG,ZS EV,2019,299,126
Scooter,TVS,iQube,2019,208,96
Car,MG,ZS EV,2019,354,60
Scooter,Ola Electric,S1 Pro,2023,353,104
Scooter,TVS,iQube,2021,164,125
Bike,PURE EV,eTryst 350,2020,451,150
Car,Hyundai,Kona Electric,2022,268,84
Car,Hyundai,Kona Electric,2019,82,169
Scooter,Hero Electric,Optima,2022,307,67
Scooter,Hero Electric,Optima,2020,259,168
Scooter,Bajaj,Chetak,2022,225,149
Car,Hyundai,Kona Electric,2023,398,161
Car,Hyundai,Kona Electric,2020,261,155
Scooter,Bajaj,Chetak,2020,418,127
Scooter,TVS,iQube,2022,437,84
Car,Tata Motors,Nexon EV,2021,425,119
Scooter,TVS,iQube,2022,473,129
Bike,Ultraviolette,F77,2021,232,119
Car,Tata Motors,Nexon EV,2020,480,84
Bike,Oben Electric,Rorr,2019,127,89
Car,Hyundai,Kona Electric,2022,158,130
Car,MG,ZS EV,2020,232,173
Car,Mahindra,eVerito,2020,326,79
Scooter,TVS,iQube,2021,310,78
Car,Mahindra,eVerito,2019,243,147
Bike,Ultraviolette,F77,2019,481,174
Scooter,Bajaj,Chetak,2019,370,102
Bike,Ultraviolette,F77,2019,300,140
Scooter,Hero Electric,Optima,2019,166,85
Scooter,TVS,iQube,2021,266,68
Scooter,TVS,iQube,2019,109,166
Bike,Tork Motors,Kratos,2022,90,112
Scooter,Ola Electric,S1 Pro,2020,210,85
Bike,Oben Electric,Rorr,2022,135,134
Scooter,Hero Electric,Optima,2020,413,172
Scooter,Ather,450X,2019,116,159
Bike,Tork Motors,Kratos,2020,306,103
Scooter,Hero Electric,Optima,2021,494,100
Scooter,Ather,450X,2020,244,91
Scooter,Ola Electric,S1 Pro,2021,279,109
Bike,Ultraviolette,F77,2022,367,179
Car,MG,ZS EV,2022,377,87
Bike,Ultraviolette,F77,2022,321,82
Bike,Revolt Motors,RV400,2022,127,119
Bike,Oben Electric,Rorr,2023,200,76
Car,Hyundai,Kona Electric,2021,202,154
Bike,Oben Electric,Rorr,2023,328,133
Scooter,TVS,iQube,2023,439,146
Bike,Revolt Motors,RV400,2019,145,162
Bike,Revolt Motors,RV400,2019,359,105
Bike,PURE EV,eTryst 350,2019,324,112
Bike,Revolt Motors,RV400,2021,473,114
Car,Tata Motors,Nexon EV,2023,174,96
Car,Mahindra,eVerito,2023,452,154
Bike,Ultraviolette,F77,2020,181,131
Car,Mahindra,eVerito,2022,437,119
Scooter,Hero Electric,Optima,2020,95,148
Scooter,Bajaj,Chetak,2023,188,87
Bike,PURE EV,eTryst 350,2023,500,119
Bike,Tork Motors,Kratos,2020,163,77
Car,Hyundai,Kona Electric,2023,280,86
Bike,Tork Motors,Kratos,2022,78,65
Car,BYD,Atto 3,2019,188,180
Car,Mahindra,eVerito,2019,217,91
Bike,Ultraviolette,F77,2022,494,99
Car,Mahindra,eVerito,2021,302,127
Scooter,Hero Electric,Optima,2019,119,162
Bike,Revolt Motors,RV400,2020,339,150
Bike,PURE EV,eTryst 350,2019,111,69
Car,MG,ZS EV,2020,146,65
Scooter,Bajaj,Chetak,2020,266,85
Scooter,Ather,450X,2021,97,138
Bike,Tork Motors,Kratos,2020,277,87
Bike,PURE EV,eTryst 350,2022,132,150
Bike,PURE EV,eTryst 350,2021,387,85
Car,Hyundai,Kona Electric,2020,281,166
Scooter,Hero Electric,Optima,2022,246,105
Bike,PURE EV,eTryst 350,2019,348,175
Scooter,Ather,450X,2020,387,82
Car,Tata Motors,Nexon EV,2023,480,73
Bike,Tork Motors,Kratos,2019,189,98
Scooter,Bajaj,Chetak,2023,189,107
Bike,Tork Motors,Kratos,2022,383,164
Scooter,TVS,iQube,2021,414,129
Bike,PURE EV,eTryst 350,2019,464,111
Car,MG,ZS EV,2021,199,173
Bike,Oben Electric,Rorr,2019,385,82
Car,MG,ZS EV,2019,196,131
Bike,Oben Electric,Rorr,2019,406,134
Bike,PURE EV,eTryst 350,2022,210,123
Scooter,Ather,450X,2021,451,167
Car,MG,ZS EV,2023,106,81
Scooter,Ola Electric,S1 Pro,2022,155,173
Scooter,Ather,450X,2021,346,149
Car,MG,ZS EV,2020,299,106
Car,Hyundai,Kona Electric,2023,345,126
Scooter,Ather,450X,2019,277,142
Bike,Revolt Motors,RV400,2021,118,90
Scooter,Hero Electric,Optima,2020,209,142
Scooter,Hero Electric,Optima,2019,93,123
Bike,Oben Electric,Rorr,2023,85,180
Car,Hyundai,Kona Electric,2020,332,116
Car,Hyundai,Kona Electric,2023,310,137
Car,Hyundai,Kona Electric,2023,179,155
Bike,Revolt Motors,RV400,2022,90,99
Car,Mahindra,eVerito,2020,172,104
Bike,PURE EV,eTryst 350,2021,233,151
Bike,Oben Electric,Rorr,2021,491,110
Bike,PURE EV,eTryst 350,2023,499,112
Scooter,Ola Electric,S1 Pro,2022,271,151
Scooter,Ather,450X,2021,158,97
Scooter,Bajaj,Chetak,2022,389,83
Scooter,Ather,450X,2022,251,138
Car,Hyundai,Kona Electric,2021,127,80
Car,MG,ZS EV,2022,289,115
Car,MG,ZS EV,2022,304,155
Car,MG,ZS EV,2021,413,70
Bike,Ultraviolette,F77,2020,423,79
Bike,Revolt Motors,RV400,2019,368,93
Car,Mahindra,eVerito,2021,364,140
Scooter,Ola Electric,S1 Pro,2019,101,92
Bike,Tork Motors,Kratos,2022,485,69
Bike,PURE EV,eTryst 350,2023,276,167
Bike,Tork Motors,Kratos,2022,263,126
Car,Hyundai,Kona Electric,2023,408,127
Scooter,Bajaj,Chetak,2021,119,139
Bike,Tork Motors,Kratos,2023,280,114
Bike,PURE EV,eTryst 350,2021,167,147
Scooter,Ola Electric,S1 Pro,2023,292,119
Bike,Oben Electric,Rorr,2023,411,175
Car,Mahindra,eVerito,2020,140,131
Bike,Ultraviolette,F77,2021,235,84
Bike,Revolt Motors,RV400,2022,266,173
Car,MG,ZS EV,2023,258,75
Scooter,Ather,450X,2021,292,138
Scooter,Ola Electric,S1 Pro,2023,245,129
Car,BYD,Atto 3,2023,175,62
Scooter,Ather,450X,2023,344,111
Bike,Oben Electric,Rorr,2023,345,170
Scooter,Hero Electric,Optima,2022,149,67
Scooter,Bajaj,Chetak,2021,209,63
Bike,Revolt Motors,RV400,2023,405,149
Car,Hyundai,Kona Electric,2022,401,168
Scooter,Bajaj,Chetak,2020,484,169
Car,Tata Motors,Nexon EV,2023,459,67
Car,Mahindra,eVerito,2020,242,102
Car,BYD,Atto 3,2021,344,162
Bike,Revolt Motors,RV400,2022,211,94
Car,Mahindra,eVerito,2023,233,160
Bike,Oben Electric,Rorr,2020,362,81
Scooter,TVS,iQube,2019,151,140
Bike,Ultraviolette,F77,2020,135,143
Car,Hyundai,Kona Electric,2022,390,165
Bike,Revolt Motors,RV400,2021,218,120
Bike,Revolt Motors,RV400,2023,221,107
Car,Mahindra,eVerito,2022,320,114
Bike,Ultraviolette,F77,2022,435,74
Scooter,Ola Electric,S1 Pro,2023,148,74
Bike,PURE EV,eTryst 350,2020,426,164
Car,Hyundai,Kona Electric,2022,459,61
Car,Mahindra,eVerito,2022,171,120
Bike,PURE EV,eTryst 350,2023,211,154
Scooter,Ola Electric,S1 Pro,2023,433,125
Scooter,Ola Electric,S1 Pro,2019,377,98
Bike,Revolt Motors,RV400,2019,458,63
Scooter,TVS,iQube,2020,422,162
Car,Tata Motors,Nexon EV,2021,155,132
Bike,Revolt Motors,RV400,2023,496,152
Bike,Revolt Motors,RV400,2019,126,167
Scooter,Ather,450X,2019,256,127
Car,Tata Motors,Nexon EV,2022,135,145
Car,BYD,Atto 3,2020,450,98
Bike,Revolt Motors,RV400,2019,95,118
Scooter,TVS,iQube,2022,398,151
Scooter,Bajaj,Chetak,2022,438,159
Scooter,Ather,450X,2022,237,141
Car,Mahindra,eVerito,2021,169,162
Bike,Tork Motors,Kratos,2022,143,116
Scooter,Hero Electric,Optima,2022,204,147
Bike,Ultraviolette,F77,2019,152,139
Bike,Revolt Motors,RV400,2021,376,129
Car,Tata Motors,Nexon EV,2021,373,152
Car,MG,ZS EV,2021,265,157
Car,Tata Motors,Nexon EV,2020,280,78
Bike,Tork Motors,Kratos,2019,434,173
Bike,Revolt Motors,RV400,2021,289,144
Car,Hyundai,Kona Electric,2023,357,90
Car,BYD,Atto 3,2020,123,174
Car,MG,ZS EV,2022,141,151
Bike,Revolt Motors,RV400,2020,273,168
Car,Tata Motors,Nexon EV,2021,93,79
Car,Hyundai,Kona Electric,2022,298,108
Scooter,Ather,450X,2023,242,149
Scooter,TVS,iQube,2020,435,151
Car,Hyundai,Kona Electric,2019,395,156
Scooter,Ather,450X,2022,406,100
Scooter,TVS,iQube,2021,446,71
Scooter,Ola Electric,S1 Pro,2022,124,71
Scooter,Hero Electric,Optima,2019,291,139
Bike,Revolt Motors,RV400,2023,300,84
Bike,Revolt Motors,RV400,2021,212,78
Bike,Oben Electric,Rorr,2023,449,107
Scooter,Hero Electric,Optima,2023,120,106
Scooter,Bajaj,Chetak,2022,161,137
Car,Mahindra,eVerito,2023,127,167
Scooter,Ather,450X,2023,168,125
Bike,Oben Electric,Rorr,2020,216,111
Car,Tata Motors,Nexon EV,2020,495,79
Bike,Oben Electric,Rorr,2023,348,94
Scooter,Ola Electric,S1 Pro,2023,297,135
Bike,Oben Electric,Rorr,2019,449,94
Scooter,TVS,iQube,2022,247,114
Car,Hyundai,Kona Electric,2022,183,142
Scooter,Ather,450X,2021,275,151
